# Date: 20200217
# Operator: JLC&LM
# Notes: Flamingo samples post SP3 heat
# Tap_cm: 6.0
# Sample: Flamingo-4
# Fit of Tap:
#	Ic = 123 +/- 0.029 A
#	n = 28.5 +/- 0.35 
#	Vc = 6 uV
#	Vfloor = -1.1 +/- 0.0056 uV
Supply [A],Tap [uV],Shunt [A],Time [S]
0.000000,-1.500000,5.721130,0.043011
0.023333,-1.800000,5.635740,0.060404
0.046667,-1.800000,5.635740,0.064272
0.070000,-1.700000,5.379570,0.067584
0.093333,-1.800000,5.550350,0.070870
0.116667,-1.600000,5.464960,0.074153
0.140000,-1.700000,5.550350,0.077430
0.163333,-1.600000,5.806520,0.080703
0.186667,-1.800000,5.550350,0.083989
0.210000,-1.800000,5.635740,0.087265
0.233333,-1.800000,5.464960,0.090576
0.256667,-1.700000,5.721130,0.093858
0.280000,-1.500000,5.464960,0.097133
0.303333,-1.900000,5.550350,0.100412
0.326667,-1.500000,5.464960,0.103696
0.350000,-1.700000,5.464960,0.106973
0.373333,-1.800000,5.806520,0.110255
0.396667,-1.700000,5.550350,0.113544
0.420000,-1.800000,5.635740,0.116819
0.443333,-1.500000,5.721130,0.120096
0.466667,-1.800000,5.635740,0.123378
0.490000,-1.500000,5.635740,0.126651
0.513333,-1.800000,5.635740,0.129923
0.536667,-1.600000,5.464960,0.133209
0.560000,-1.800000,5.464960,0.136484
0.583333,-1.500000,5.721130,0.139793
0.606667,-1.700000,5.806520,0.143078
0.630000,-1.800000,5.721130,0.146355
0.653333,-1.700000,5.635740,0.149635
0.676667,-1.800000,5.294180,0.152920
0.700000,-1.600000,5.806520,0.156196
0.723333,-1.800000,5.891910,0.159473
0.746667,-1.700000,5.806520,0.162748
0.770000,-1.600000,5.721130,0.166026
0.793333,-1.800000,5.721130,0.169303
0.816667,-1.900000,5.550350,0.172585
0.840000,-1.800000,5.891910,0.175869
0.863333,-1.600000,6.062690,0.179147
0.886667,-1.600000,5.977300,0.182423
0.910000,-1.500000,5.635740,0.185700
0.933333,-1.700000,5.721130,0.188977
0.956667,-1.700000,6.148080,0.192255
0.980000,-1.800000,6.062690,0.195537
1.003333,-1.600000,6.148080,0.198813
1.026667,-1.800000,5.977300,0.202119
1.050000,-1.600000,5.891910,0.205394
1.073333,-1.900000,5.721130,0.208674
1.096667,-1.800000,6.062690,0.211962
1.120000,-1.700000,6.233470,0.215241
1.143333,-1.700000,5.977300,0.218518
1.166667,-1.700000,5.891910,0.221798
1.190000,-1.600000,5.806520,0.225084
1.213333,-1.800000,6.148080,0.228356
1.236667,-1.600000,6.233470,0.231634
1.260000,-1.700000,5.891910,0.234917
1.283333,-1.700000,6.062690,0.238193
1.306667,-1.700000,6.062690,0.241472
1.330000,-1.800000,6.062690,0.244752
1.353333,-2.000000,6.148080,0.248037
1.376667,-1.800000,5.635740,0.251345
1.400000,-1.700000,6.062690,0.254626
1.423333,-1.800000,6.062690,0.257900
1.446667,-1.700000,6.318860,0.261178
1.470000,-2.000000,6.233470,0.264460
1.493333,-1.700000,6.062690,0.267737
1.516667,-1.500000,6.233470,0.271015
1.540000,-1.500000,6.062690,0.274297
1.563333,-1.500000,6.404250,0.277570
1.586667,-1.700000,6.318860,0.280845
1.610000,-1.500000,5.891910,0.284129
1.633333,-1.800000,6.489640,0.293317
1.656667,-1.600000,6.233470,0.297082
1.680000,-1.700000,6.318860,0.300403
1.703333,-1.700000,6.233470,0.303702
1.726667,-1.800000,6.404250,0.306979
1.750000,-1.900000,6.318860,0.310260
1.773333,-1.800000,6.404250,0.313542
1.796667,-2.000000,6.233470,0.316822
1.820000,-1.600000,6.318860,0.320097
1.843333,-1.800000,6.318860,0.323378
1.866667,-1.700000,6.489640,0.326648
1.890000,-1.800000,6.404250,0.329920
1.913333,-1.600000,6.404250,0.333204
1.936667,-1.500000,6.233470,0.336482
1.960000,-1.600000,6.404250,0.339790
1.983333,-1.600000,6.575030,0.343076
2.006667,-1.700000,6.575030,0.346354
2.030000,-1.900000,6.575030,0.349628
2.053333,-1.400000,6.318860,0.352923
2.076667,-1.700000,6.233470,0.356216
2.100000,-1.700000,6.575030,0.359494
2.123333,-1.900000,6.745810,0.362766
2.146667,-1.500000,6.660420,0.366045
2.170000,-1.700000,6.404250,0.369321
2.193333,-1.600000,6.318860,0.372599
2.216667,-1.700000,6.575030,0.375883
2.240000,-1.800000,6.660420,0.379160
2.263333,-1.500000,6.575030,0.382436
2.286667,-1.700000,6.660420,0.385718
2.310000,-1.500000,6.318860,0.388996
2.333333,-1.500000,6.489640,0.392274
2.356667,-1.600000,6.745810,0.395558
2.380000,-1.700000,6.660420,0.398836
2.403333,-1.600000,6.745810,0.402141
2.426667,-1.700000,6.660420,0.405424
2.450000,-1.900000,6.660420,0.408706
2.473333,-2.000000,6.831200,0.412000
2.496667,-1.700000,6.831200,0.415291
2.520000,-1.500000,6.660420,0.418567
2.543333,-1.600000,6.575030,0.421849
2.566667,-1.500000,6.745810,0.425133
2.590000,-1.800000,6.831200,0.428408
2.613333,-1.700000,6.831200,0.431683
2.636667,-1.700000,6.489640,0.434961
2.660000,-1.500000,6.745810,0.438235
2.683333,-1.600000,7.087370,0.441517
2.706667,-1.900000,6.831200,0.444799
2.730000,-1.900000,6.916590,0.448072
2.753333,-1.700000,6.489640,0.451378
2.776667,-1.600000,6.916590,0.454657
2.800000,-1.500000,6.660420,0.457933
2.823333,-1.600000,6.831200,0.461207
2.846667,-1.700000,6.916590,0.464486
2.870000,-1.600000,6.831200,0.467763
2.893333,-1.500000,6.745810,0.471043
2.916667,-1.600000,6.831200,0.474324
2.940000,-1.700000,7.258150,0.477614
2.963333,-1.900000,7.172760,0.480904
2.986667,-1.900000,6.745810,0.484184
3.010000,-1.700000,7.001980,0.487469
3.033333,-1.800000,6.916590,0.490758
3.056667,-1.700000,7.258150,0.494039
3.080000,-1.700000,7.087370,0.497321
3.103333,-1.800000,6.916590,0.500625
3.126667,-1.800000,7.001980,0.503913
3.150000,-1.800000,6.831200,0.507186
3.173333,-1.800000,7.258150,0.510461
3.196667,-1.700000,7.087370,0.513739
3.220000,-1.600000,6.916590,0.517010
3.243333,-1.500000,6.916590,0.520289
3.266667,-1.900000,7.087370,0.523575
