# Date: 20200217
# Operator: JLC&LM
# Notes: Flamingo samples post SP3 heat
# Tap_cm: 6.0
# Sample: Flamingo-4
# Fit of Tap:
#	Ic = 123 +/- 0.029 A
#	n = 24.7 +/- 0.22 
#	Vc = 6 uV
#	Vfloor = 0.105 +/- 0.0038 uV
Supply [A],Tap [uV],Shunt [A],Time [S]
0.000000,-0.200000,5.208790,0.045580
0.023333,0.100000,5.208790,0.064831
0.046667,0.000000,5.123400,0.068587
0.070000,-0.400000,5.038010,0.071907
0.093333,-0.300000,5.038010,0.075201
0.116667,-0.200000,5.123400,0.078494
0.140000,0.000000,5.038010,0.081776
0.163333,-0.300000,4.952620,0.085062
0.186667,-0.200000,5.038010,0.088350
0.210000,-0.200000,5.038010,0.091636
0.233333,-0.300000,4.696450,0.094922
0.256667,-0.200000,5.208790,0.098211
0.280000,-0.100000,5.208790,0.101491
0.303333,-0.200000,5.379570,0.104775
0.326667,-0.100000,5.123400,0.108064
0.350000,-0.500000,4.867230,0.111348
0.373333,-0.200000,5.123400,0.114655
0.396667,-0.600000,5.379570,0.117941
0.420000,-0.200000,5.379570,0.121228
0.443333,-0.200000,4.952620,0.124536
0.466667,-0.200000,5.123400,0.127820
0.490000,-0.200000,5.038010,0.131106
0.513333,-0.600000,5.464960,0.134388
0.536667,-0.300000,5.038010,0.137674
0.560000,-0.300000,4.867230,0.140959
0.583333,-0.400000,5.123400,0.144251
0.606667,-0.400000,5.123400,0.147541
0.630000,0.000000,5.379570,0.150818
0.653333,-0.200000,5.294180,0.154102
0.676667,-0.300000,4.696450,0.157390
0.700000,-0.200000,5.123400,0.160673
0.723333,-0.400000,5.208790,0.163956
0.746667,-0.400000,5.464960,0.167242
0.770000,-0.200000,5.379570,0.170524
0.793333,-0.200000,4.952620,0.173829
0.816667,-0.100000,5.294180,0.177121
0.840000,-0.100000,5.038010,0.180408
0.863333,-0.200000,5.635740,0.183692
0.886667,-0.400000,5.294180,0.186977
0.910000,-0.300000,5.123400,0.190256
0.933333,-0.300000,5.294180,0.193539
0.956667,-0.300000,5.294180,0.196823
0.980000,-0.400000,5.550350,0.200108
1.003333,-0.400000,5.208790,0.203393
1.026667,-0.200000,5.294180,0.206685
1.050000,-0.500000,5.464960,0.209973
1.073333,-0.100000,5.038010,0.213262
1.096667,-0.200000,5.721130,0.216556
1.120000,-0.200000,5.550350,0.219842
1.143333,-0.200000,5.208790,0.223144
1.166667,-0.200000,5.379570,0.226432
1.190000,-0.300000,5.294180,0.229721
1.213333,-0.500000,5.721130,0.233030
1.236667,-0.300000,5.379570,0.236317
1.260000,-0.400000,5.294180,0.239599
1.283333,-0.100000,5.379570,0.242875
1.306667,-0.200000,5.635740,0.246166
1.330000,-0.400000,5.806520,0.249454
1.353333,-0.200000,5.464960,0.252744
1.376667,-0.400000,5.464960,0.256042
1.400000,-0.200000,5.550350,0.259381
1.423333,-0.300000,5.464960,0.262879
1.446667,-0.500000,5.721130,0.266299
1.470000,-0.400000,5.806520,0.269591
1.493333,-0.400000,5.550350,0.272876
1.516667,-0.300000,5.379570,0.276221
1.540000,-0.200000,5.464960,0.279672
1.563333,-0.500000,5.806520,0.283121
1.586667,-0.300000,5.891910,0.286418
1.610000,-0.300000,5.379570,0.289710
1.633333,-0.200000,5.806520,0.293109
1.656667,-0.500000,5.806520,0.296557
1.680000,-0.400000,5.891910,0.299972
1.703333,-0.100000,5.891910,0.303269
1.726667,-0.300000,5.635740,0.306558
1.750000,-0.200000,5.806520,0.316637
1.773333,-0.300000,5.891910,0.320509
1.796667,-0.200000,5.464960,0.323923
1.820000,-0.400000,5.721130,0.327402
1.843333,-0.200000,5.891910,0.330813
1.866667,-0.300000,5.977300,0.334107
1.890000,-0.300000,5.806520,0.337405
1.913333,-0.300000,5.550350,0.340748
1.936667,-0.300000,5.977300,0.344193
1.960000,-0.200000,5.806520,0.347617
1.983333,-0.200000,6.148080,0.350912
2.006667,-0.300000,5.891910,0.354197
2.030000,-0.500000,5.806520,0.357561
2.053333,-0.200000,5.891910,0.361017
2.076667,-0.300000,5.891910,0.364427
2.100000,-0.500000,5.977300,0.367730
2.123333,-0.300000,6.148080,0.371041
2.146667,-0.200000,5.977300,0.374606
2.170000,-0.300000,5.806520,0.379511
2.193333,-0.400000,6.062690,0.382903
2.216667,-0.300000,6.062690,0.386211
2.240000,-0.100000,5.806520,0.389575
2.263333,-0.300000,5.806520,0.393110
2.286667,-0.300000,6.233470,0.399273
2.310000,-0.200000,6.062690,0.402630
2.333333,0.000000,5.891910,0.406865
2.356667,-0.200000,6.062690,0.413056
2.380000,-0.200000,6.233470,0.416427
2.403333,-0.200000,6.318860,0.420368
2.426667,-0.200000,5.806520,0.423913
2.450000,-0.200000,6.318860,0.430048
2.473333,-0.400000,6.318860,0.433444
2.496667,-0.400000,6.318860,0.437143
2.520000,0.000000,5.977300,0.440608
2.543333,-0.400000,6.148080,0.446836
2.566667,-0.300000,6.318860,0.450183
2.590000,-0.300000,6.318860,0.453949
2.613333,0.200000,5.977300,0.457408
2.636667,0.000000,6.148080,0.463542
