# Date: 20200217
# Operator: JLC&LM
# Notes: Flamingo samples post SP3 heat
# Tap_cm: 6.0
# Sample: SOX 351-L 753.84-753.82
# Fit of Tap:
#	Ic = 812 +/- 1.3e+02 A
#	n = 2.23 +/- 0.21 
#	Vc = 6 uV
#	Vfloor = -1.52 +/- 0.0034 uV
Supply [A],Tap [uV],Shunt [A],Time [S]
0.000000,-1.600000,5.208790,0.038658
0.023333,-1.700000,5.721130,0.056561
0.046667,-1.500000,5.379570,0.060447
0.070000,-1.500000,5.038010,0.063763
0.093333,-1.600000,5.208790,0.067048
0.116667,-1.600000,5.208790,0.070366
0.140000,-1.500000,5.294180,0.073651
0.163333,-1.500000,5.294180,0.076927
0.186667,-1.400000,5.038010,0.080205
0.210000,-1.600000,5.379570,0.083493
0.233333,-1.600000,5.123400,0.086771
0.256667,-1.500000,5.550350,0.090051
0.280000,-1.500000,5.208790,0.093337
0.303333,-1.400000,5.038010,0.096612
0.326667,-1.200000,5.123400,0.099891
0.350000,-1.200000,5.123400,0.103176
0.373333,-1.700000,5.464960,0.106464
0.396667,-1.400000,5.379570,0.109754
0.420000,-1.300000,4.781840,0.113035
0.443333,-1.400000,5.294180,0.116315
0.466667,-1.400000,5.208790,0.119618
0.490000,-1.600000,5.635740,0.122905
0.513333,-1.300000,5.294180,0.126194
0.536667,-1.500000,5.123400,0.129519
0.560000,-1.200000,5.208790,0.132804
0.583333,-1.500000,5.294180,0.136087
0.606667,-1.500000,5.635740,0.139374
0.630000,-1.500000,5.550350,0.142658
0.653333,-1.600000,5.123400,0.145936
0.676667,-1.500000,5.208790,0.149215
0.700000,-1.600000,4.952620,0.152498
0.723333,-1.600000,5.464960,0.155777
0.746667,-1.200000,5.464960,0.159060
0.770000,-1.800000,5.294180,0.162350
0.793333,-1.400000,5.379570,0.165630
0.816667,-1.600000,5.294180,0.168917
0.840000,-1.600000,5.464960,0.172209
0.863333,-1.300000,5.550350,0.175483
0.886667,-1.600000,5.464960,0.178793
0.910000,-1.400000,5.379570,0.182074
0.933333,-1.500000,5.208790,0.185352
0.956667,-1.500000,5.464960,0.188630
0.980000,-1.500000,5.635740,0.191917
1.003333,-1.400000,5.208790,0.195194
1.026667,-1.800000,5.464960,0.198470
1.050000,-1.500000,5.635740,0.201746
1.073333,-1.600000,5.379570,0.205035
1.096667,-1.500000,5.806520,0.208319
1.120000,-1.500000,5.379570,0.211598
1.143333,-1.800000,5.635740,0.214881
1.166667,-1.400000,5.635740,0.218160
1.190000,-1.300000,5.635740,0.221441
1.213333,-1.300000,5.721130,0.224721
1.236667,-1.300000,5.379570,0.227998
1.260000,-1.700000,5.635740,0.231280
1.283333,-1.500000,5.635740,0.234564
1.306667,-1.200000,5.208790,0.237843
1.330000,-1.300000,5.721130,0.241139
1.353333,-1.300000,5.379570,0.244428
1.376667,-1.500000,5.464960,0.247712
1.400000,-1.300000,5.464960,0.251021
1.423333,-1.700000,5.379570,0.254300
1.446667,-1.700000,5.721130,0.263506
1.470000,-1.400000,5.464960,0.267261
1.493333,-1.200000,5.464960,0.270580
1.516667,-1.800000,5.977300,0.273865
1.540000,-1.700000,5.806520,0.277148
1.563333,-1.500000,5.550350,0.280429
1.586667,-1.600000,5.977300,0.283714
1.610000,-1.200000,5.721130,0.286995
1.633333,-1.600000,5.977300,0.290299
1.656667,-1.600000,5.977300,0.293578
1.680000,-1.700000,5.379570,0.296864
1.703333,-1.600000,5.977300,0.300148
1.726667,-1.400000,5.721130,0.303431
1.750000,-1.600000,5.977300,0.306706
1.773333,-1.600000,6.062690,0.309988
1.796667,-1.700000,5.635740,0.313274
1.820000,-1.200000,5.977300,0.316555
1.843333,-1.400000,5.635740,0.319838
1.866667,-1.400000,5.977300,0.323119
1.890000,-1.400000,5.891910,0.326397
1.913333,-1.500000,5.550350,0.329675
1.936667,-1.500000,6.148080,0.332958
1.960000,-1.500000,5.891910,0.336284
1.983333,-1.300000,6.062690,0.339649
2.006667,-1.400000,6.318860,0.342949
2.030000,-1.600000,5.635740,0.346263
2.053333,-1.600000,5.635740,0.349681
2.076667,-1.500000,5.891910,0.353096
2.100000,-1.500000,5.977300,0.356483
2.123333,-1.700000,6.233470,0.359951
2.146667,-1.700000,5.891910,0.363453
2.170000,-1.400000,6.233470,0.366862
2.193333,-1.500000,5.891910,0.370305
2.216667,-1.500000,6.148080,0.373734
2.240000,-1.900000,6.318860,0.377122
2.263333,-1.600000,5.806520,0.380558
2.286667,-1.400000,6.318860,0.383992
2.310000,-1.400000,5.550350,0.387423
2.333333,-1.700000,6.318860,0.390868
2.356667,-1.700000,5.891910,0.394326
2.380000,-1.400000,6.148080,0.397739
2.403333,-1.500000,6.062690,0.401155
2.426667,-1.800000,5.891910,0.404558
2.450000,-1.700000,6.404250,0.407941
2.473333,-1.100000,6.233470,0.411363
2.496667,-1.800000,6.318860,0.414777
2.520000,-1.400000,6.233470,0.418158
2.543333,-1.600000,5.977300,0.421558
2.566667,-1.600000,6.489640,0.424940
2.590000,-1.600000,6.148080,0.428325
2.613333,-1.700000,6.318860,0.431712
2.636667,-1.200000,6.148080,0.435107
2.660000,-1.400000,6.233470,0.438488
2.683333,-1.600000,6.404250,0.441908
2.706667,-1.600000,6.148080,0.445281
2.730000,-1.400000,6.404250,0.448673
2.753333,-1.600000,6.318860,0.452092
2.776667,-1.500000,6.233470,0.455482
2.800000,-1.700000,6.575030,0.458887
2.823333,-1.500000,6.404250,0.462276
2.846667,-1.500000,6.318860,0.465659
2.870000,-1.400000,6.233470,0.469044
2.893333,-1.200000,6.575030,0.472433
2.916667,-1.500000,6.575030,0.475821
2.940000,-1.500000,6.233470,0.479207
2.963333,-1.300000,6.404250,0.482608
2.986667,-1.900000,6.318860,0.485995
3.010000,-1.300000,6.660420,0.489482
3.033333,-1.700000,6.660420,0.493003
3.056667,-1.500000,6.233470,0.496404
3.080000,-1.400000,6.404250,0.499805
3.103333,-1.500000,6.404250,0.503200
3.126667,-1.500000,6.745810,0.506614
3.150000,-1.600000,6.916590,0.510096
3.173333,-1.600000,6.233470,0.513586
3.196667,-1.600000,6.575030,0.516994
3.220000,-1.300000,6.489640,0.520428
3.243333,-1.600000,6.745810,0.523820
3.266667,-1.300000,6.575030,0.527204
3.290000,-1.600000,6.404250,0.530589
3.313333,-1.700000,6.660420,0.533988
3.336667,-1.600000,6.318860,0.537370
3.360000,-1.700000,7.001980,0.540760
3.383333,-1.600000,6.318860,0.544168
3.406667,-1.500000,6.575030,0.547578
3.430000,-1.600000,6.660420,0.550956
3.453333,-1.600000,6.575030,0.558289
3.476667,-1.500000,6.831200,0.564750
3.500000,-1.400000,6.575030,0.568620
3.523333,-1.300000,6.831200,0.572107
3.546667,-1.500000,6.916590,0.575498
3.570000,-1.700000,6.575030,0.578901
3.593333,-1.300000,6.916590,0.582287
3.616667,-1.400000,6.831200,0.585685
3.640000,-1.500000,6.660420,0.589067
3.663333,-1.600000,7.001980,0.592459
3.686667,-1.500000,6.404250,0.595849
3.710000,-1.300000,6.916590,0.599239
3.733333,-1.600000,6.575030,0.602625
3.756667,-1.700000,7.172760,0.606063
3.780000,-1.600000,7.172760,0.610207
3.803333,-1.600000,6.575030,0.613711
3.826667,-1.600000,7.172760,0.617109
3.850000,-1.400000,6.831200,0.620507
3.873333,-1.400000,7.087370,0.623935
3.896667,-1.200000,6.831200,0.627361
3.920000,-1.600000,6.745810,0.630779
3.943333,-1.500000,6.831200,0.634179
3.966667,-1.500000,6.062690,0.637579
3.990000,-1.500000,7.001980,0.641013
4.013333,-1.500000,6.831200,0.644449
4.036667,-1.400000,7.001980,0.647877
4.060000,-1.500000,6.831200,0.651279
4.083333,-1.400000,6.575030,0.654772
4.106667,-1.500000,6.916590,0.658195
4.130000,-1.500000,6.660420,0.661589
4.153333,-1.500000,6.831200,0.664983
4.176667,-1.500000,7.087370,0.668373
4.200000,-1.500000,6.916590,0.671769
4.223333,-1.900000,7.001980,0.675154
4.246667,-1.600000,6.916590,0.678537
4.270000,-1.700000,7.087370,0.681946
4.293333,-1.600000,7.087370,0.685333
4.316667,-1.400000,7.087370,0.688753
4.340000,-1.700000,7.428930,0.692151
4.363333,-1.700000,7.087370,0.695537
4.386667,-1.300000,7.087370,0.698915
4.410000,-1.800000,7.001980,0.702308
4.433333,-1.400000,7.172760,0.705754
4.456667,-1.500000,7.343540,0.709787
4.480000,-1.800000,6.916590,0.713960
4.503333,-1.300000,7.258150,0.718275
4.526667,-1.300000,7.258150,0.722800
4.550000,-1.800000,7.343540,0.727013
4.573333,-1.500000,7.172760,0.731271
4.596667,-1.700000,7.258150,0.735506
4.620000,-1.200000,7.428930,0.739709
4.643333,-1.700000,7.514320,0.743868
4.666667,-1.400000,7.258150,0.748139
4.690000,-1.500000,7.343540,0.752479
4.713333,-1.600000,7.599710,0.756655
4.736667,-1.600000,7.258150,0.760871
4.760000,-1.800000,7.343540,0.765106
4.783333,-1.500000,7.428930,0.769406
4.806667,-1.700000,7.685100,0.773579
4.830000,-1.400000,7.087370,0.777740
