# Date: 20200223
# Operator: JLC&SV
# Notes: IBIS pre-test
# Tap_cm: 6.0
# Sample: SOX 351-C 754.16-755.04
# Fit of Tap:
#	Ic = 119 +/- 0.018 A
#	n = 30.2 +/- 0.24 
#	Vc = 6 uV
#	Vfloor = 0.924 +/- 0.0036 uV
Supply [A],Tap [uV],Shunt [A],Time [S]
0.000000,0.900000,5.635740,0.053128
0.023333,0.800000,5.379570,0.088061
0.046667,0.900000,5.294180,0.093269
0.070000,0.700000,5.550350,0.097382
0.093333,0.700000,5.464960,0.101467
0.116667,0.900000,5.550350,0.105563
0.140000,0.800000,5.464960,0.109721
0.163333,0.700000,5.550350,0.113761
0.186667,0.800000,5.635740,0.117895
0.210000,0.900000,5.379570,0.122034
0.233333,1.000000,5.464960,0.126122
0.256667,0.900000,5.464960,0.130241
0.280000,0.700000,5.464960,0.134369
0.303333,0.500000,5.464960,0.138550
0.326667,0.600000,5.379570,0.142647
0.350000,1.000000,5.464960,0.146743
0.373333,0.800000,5.550350,0.150863
0.396667,0.800000,5.379570,0.154929
0.420000,0.400000,5.379570,0.159064
0.443333,1.000000,5.721130,0.163342
0.466667,0.900000,5.635740,0.167609
0.490000,0.900000,5.294180,0.171620
0.513333,1.000000,5.464960,0.175752
0.536667,0.600000,5.806520,0.179842
0.560000,0.800000,5.550350,0.183957
0.583333,1.100000,5.294180,0.188054
0.606667,0.900000,5.379570,0.191968
0.630000,0.800000,5.635740,0.195949
0.653333,0.600000,5.721130,0.199893
0.676667,0.700000,5.806520,0.203882
0.700000,0.700000,5.550350,0.208034
0.723333,0.800000,5.721130,0.211899
0.746667,0.600000,5.635740,0.215862
0.770000,0.800000,5.806520,0.219753
0.793333,1.000000,5.635740,0.223608
0.816667,0.500000,5.635740,0.227614
0.840000,0.800000,5.721130,0.231479
0.863333,1.000000,5.721130,0.235459
0.886667,0.800000,5.635740,0.239570
0.910000,0.900000,5.806520,0.243687
0.933333,0.700000,5.977300,0.247660
0.956667,0.800000,5.806520,0.251654
0.980000,0.800000,5.721130,0.255771
1.003333,0.900000,5.806520,0.259839
1.026667,1.000000,5.635740,0.263473
1.050000,1.000000,5.721130,0.267201
1.073333,0.800000,5.721130,0.270967
