# Date: 20200311
# Operator: JLC
# Notes: Ibis post test packet B
# Tap_cm: 6.0
# Sample: SOX 351-C 755.28-755.16
# Fit of Tap:
#	Ic = 119 +/- 0.057 A
#	n = 22.3 +/- 0.37 
#	Vc = 6 uV
#	Vfloor = -0.911 +/- 0.0074 uV
Supply [A],Tap [uV],Shunt [A],Time [S]
0.000000,-1.500000,6.148080,0.048098
0.023333,-1.900000,6.062690,0.072920
0.046667,-1.600000,5.550350,0.076967
0.070000,-1.400000,6.062690,0.080510
0.093333,-1.800000,6.062690,0.084029
0.116667,-1.700000,6.148080,0.087801
0.140000,-1.900000,5.721130,0.091297
0.163333,-1.600000,6.148080,0.094663
0.186667,-1.600000,6.489640,0.098088
0.210000,-1.300000,6.148080,0.101624
0.233333,-1.500000,6.148080,0.105230
0.256667,-1.600000,5.891910,0.108876
0.280000,-1.700000,6.404250,0.112437
0.303333,-1.800000,6.062690,0.116016
0.326667,-1.600000,5.891910,0.119533
0.350000,-1.600000,6.148080,0.124845
0.373333,-1.700000,6.318860,0.128719
0.396667,-1.500000,6.148080,0.132312
0.420000,-1.400000,5.977300,0.136097
0.443333,-1.600000,5.806520,0.139647
0.466667,-1.300000,5.721130,0.143125
0.490000,-1.800000,6.233470,0.146660
0.513333,-1.600000,6.148080,0.150893
0.536667,-1.500000,6.062690,0.154356
0.560000,-1.400000,5.977300,0.157756
0.583333,-1.800000,6.233470,0.162935
0.606667,-1.700000,6.148080,0.168681
0.630000,-1.800000,6.062690,0.172127
0.653333,-1.400000,5.977300,0.175528
0.676667,-1.400000,6.318860,0.178867
0.700000,-1.700000,6.318860,0.182173
0.723333,-1.500000,6.148080,0.185603
0.746667,-1.600000,6.318860,0.189262
0.770000,-1.600000,5.806520,0.192958
0.793333,-1.700000,6.404250,0.196695
0.816667,-1.600000,6.148080,0.200299
0.840000,-1.600000,6.233470,0.203729
0.863333,-1.700000,6.148080,0.207149
0.886667,-1.500000,6.233470,0.210605
0.910000,-1.600000,6.575030,0.214187
0.933333,-1.500000,6.489640,0.217780
0.956667,-1.500000,6.404250,0.225738
0.980000,-1.700000,6.575030,0.231820
1.003333,-1.400000,6.062690,0.235705
1.026667,-1.800000,6.489640,0.239301
1.050000,-1.600000,6.062690,0.243031
1.073333,-1.700000,6.575030,0.246545
1.096667,-1.500000,6.404250,0.249992
1.120000,-1.400000,6.404250,0.253671
1.143333,-1.600000,6.404250,0.257340
1.166667,-1.700000,6.489640,0.260905
1.190000,-1.400000,6.489640,0.264486
1.213333,-1.400000,6.489640,0.268151
1.236667,-1.800000,6.575030,0.271775
1.260000,-1.600000,6.062690,0.275406
1.283333,-1.500000,6.745810,0.279012
1.306667,-1.400000,6.660420,0.282481
1.330000,-1.500000,6.404250,0.285813
1.353333,-1.500000,6.660420,0.289240
1.376667,-1.500000,6.318860,0.292901
1.400000,-1.400000,6.745810,0.296543
1.423333,-1.400000,6.660420,0.300080
1.446667,-1.600000,6.660420,0.303691
1.470000,-1.500000,6.575030,0.307279
1.493333,-1.300000,6.404250,0.310793
1.516667,-1.500000,6.916590,0.314372
1.540000,-1.700000,6.745810,0.317960
1.563333,-1.800000,6.575030,0.321594
1.586667,-1.700000,6.489640,0.325252
1.610000,-1.500000,7.001980,0.328844
1.633333,-1.700000,6.831200,0.332448
1.656667,-1.500000,6.575030,0.336146
1.680000,-1.500000,6.745810,0.339738
1.703333,-1.700000,6.489640,0.343355
1.726667,-1.500000,6.831200,0.346951
1.750000,-1.600000,6.831200,0.350624
1.773333,-1.500000,6.489640,0.354977
1.796667,-1.300000,6.489640,0.359616
1.820000,-1.700000,6.916590,0.363245
1.843333,-1.400000,6.916590,0.366919
1.866667,-1.700000,6.745810,0.370492
1.890000,-1.400000,6.745810,0.374051
1.913333,-1.600000,6.831200,0.377699
1.936667,-1.500000,7.001980,0.381336
1.960000,-1.400000,6.831200,0.384907
1.983333,-1.800000,6.745810,0.388574
2.006667,-1.600000,6.745810,0.392164
2.030000,-1.700000,7.172760,0.395726
2.053333,-1.600000,6.916590,0.399339
2.076667,-1.600000,6.660420,0.402900
2.100000,-1.500000,6.831200,0.406526
2.123333,-1.500000,6.575030,0.410082
2.146667,-1.700000,7.258150,0.413492
2.170000,-1.900000,6.916590,0.417079
2.193333,-1.800000,6.831200,0.420670
2.216667,-1.700000,7.172760,0.424266
2.240000,-1.700000,7.087370,0.427842
2.263333,-1.700000,7.258150,0.431545
2.286667,-1.700000,7.001980,0.435031
2.310000,-1.500000,6.916590,0.438443
2.333333,-1.600000,6.745810,0.441768
2.356667,-1.700000,7.087370,0.445296
2.380000,-1.300000,7.087370,0.448914
2.403333,-1.500000,7.001980,0.452501
2.426667,-1.600000,7.001980,0.456160
2.450000,-1.600000,6.916590,0.459770
2.473333,-1.600000,7.172760,0.463452
2.496667,-1.700000,7.087370,0.467066
2.520000,-1.600000,7.172760,0.470725
2.543333,-1.500000,7.087370,0.474330
2.566667,-1.600000,7.001980,0.477735
2.590000,-1.500000,7.258150,0.481465
2.613333,-1.700000,7.172760,0.485062
2.636667,-1.600000,7.343540,0.488709
2.660000,-1.500000,6.916590,0.492113
2.683333,-1.400000,7.258150,0.495667
2.706667,-1.500000,7.343540,0.499287
2.730000,-1.400000,7.258150,0.502840
2.753333,-1.600000,7.343540,0.506441
2.776667,-1.400000,6.831200,0.509964
2.800000,-1.400000,7.599710,0.513429
2.823333,-1.700000,7.343540,0.516814
2.846667,-1.700000,7.343540,0.524191
2.870000,-1.500000,7.428930,0.531031
2.893333,-1.500000,7.258150,0.535083
2.916667,-1.600000,7.258150,0.538907
2.940000,-1.300000,7.343540,0.542492
2.963333,-1.500000,7.599710,0.545984
2.986667,-1.400000,7.599710,0.549385
3.010000,-1.600000,7.343540,0.553406
3.033333,-1.300000,7.514320,0.557136
3.056667,-1.600000,7.343540,0.560807
3.080000,-1.600000,7.514320,0.564515
3.103333,-1.500000,7.428930,0.568197
3.126667,-1.600000,7.599710,0.571861
3.150000,-1.600000,7.343540,0.575481
3.173333,-1.600000,7.599710,0.579157
3.196667,-1.700000,7.685100,0.582988
3.220000,-1.400000,7.343540,0.586616
3.243333,-1.500000,7.428930,0.590238
3.266667,-1.700000,7.258150,0.593898
3.290000,-1.400000,7.770490,0.597654
3.313333,-1.700000,7.428930,0.601317
3.336667,-1.900000,7.599710,0.604908
3.360000,-1.400000,7.343540,0.608813
3.383333,-1.500000,7.855880,0.612564
3.406667,-1.400000,7.685100,0.616201
3.430000,-1.700000,7.599710,0.619837
3.453333,-1.600000,7.599710,0.623505
3.476667,-1.600000,7.428930,0.627205
3.500000,-1.600000,7.685100,0.630957
3.523333,-1.600000,7.770490,0.634549
3.546667,-1.700000,7.685100,0.638446
3.570000,-1.400000,7.343540,0.642027
3.593333,-1.700000,8.026660,0.645460
3.616667,-1.400000,7.770490,0.648879
3.640000,-1.400000,7.514320,0.652456
3.663333,-1.600000,7.770490,0.656285
3.686667,-1.800000,7.428930,0.659919
3.710000,-1.600000,7.855880,0.663782
3.733333,-1.600000,7.770490,0.667414
3.756667,-1.600000,7.770490,0.671083
3.780000,-1.700000,7.343540,0.674746
3.803333,-1.800000,7.770490,0.678494
3.826667,-1.800000,7.941270,0.682097
3.850000,-1.600000,7.685100,0.685794
3.873333,-1.500000,7.770490,0.689404
3.896667,-1.700000,7.343540,0.693004
3.920000,-1.800000,8.026660,0.696470
3.943333,-1.600000,8.026660,0.700047
3.966667,-1.600000,7.941270,0.703692
3.990000,-1.500000,7.770490,0.707363
4.013333,-1.300000,7.941270,0.711209
4.036667,-1.600000,7.941270,0.715338
4.060000,-1.700000,7.770490,0.718927
4.083333,-1.700000,7.770490,0.722352
4.106667,-1.400000,8.026660,0.725800
4.130000,-1.600000,8.112050,0.729381
4.153333,-1.300000,8.112050,0.732828
4.176667,-1.500000,7.855880,0.736579
4.200000,-1.500000,7.855880,0.740285
4.223333,-1.500000,7.941270,0.743957
4.246667,-1.800000,8.112050,0.747615
4.270000,-1.800000,8.112050,0.751107
4.293333,-1.500000,7.941270,0.754757
4.316667,-1.600000,7.941270,0.758504
4.340000,-1.600000,8.197440,0.762305
4.363333,-1.700000,8.197440,0.766051
4.386667,-1.500000,7.855880,0.769740
4.410000,-1.600000,7.941270,0.773402
4.433333,-1.400000,7.770490,0.776990
4.456667,-1.600000,8.282830,0.780470
4.480000,-1.700000,8.112050,0.784026
4.503333,-1.800000,8.112050,0.787848
4.526667,-1.300000,8.026660,0.791522
4.550000,-1.500000,8.368220,0.795255
4.573333,-1.500000,8.368220,0.798736
4.596667,-1.600000,8.026660,0.802405
4.620000,-1.700000,8.282830,0.806030
4.643333,-1.500000,8.112050,0.809671
4.666667,-1.600000,8.368220,0.813446
4.690000,-1.400000,8.197440,0.817148
4.713333,-1.700000,7.941270,0.824617
4.736667,-1.600000,8.539000,0.831098
4.760000,-1.400000,8.368220,0.835100
4.783333,-1.600000,8.197440,0.839159
4.806667,-1.600000,8.197440,0.842813
4.830000,-1.800000,8.453610,0.846474
4.853333,-1.600000,8.453610,0.850280
4.876667,-1.300000,8.197440,0.853821
4.900000,-1.500000,8.624390,0.857479
4.923333,-1.500000,8.539000,0.861393
4.946667,-1.700000,8.368220,0.865043
4.970000,-1.500000,8.453610,0.868892
4.993333,-1.600000,8.197440,0.872458
5.016667,-1.400000,8.112050,0.876124
5.040000,-1.700000,8.709780,0.879926
5.063333,-1.400000,8.282830,0.883555
5.086667,-1.600000,8.539000,0.887174
5.110000,-1.400000,8.453610,0.890841
5.133333,-1.800000,8.539000,0.894749
5.156667,-1.500000,8.539000,0.898496
5.180000,-1.600000,8.282830,0.902055
5.203333,-1.600000,8.453610,0.905751
5.226667,-1.400000,8.282830,0.909464
