# Date: 20200710
# Operator: SCAW
# Notes:
#	pp2-1 pre-test tap
#	z
# Tap_cm: 6.0
# Sample: pp2-1
# Fit of Tap:
#	Ic = 969 +/- 77 A
#	n = 0.884 +/- 0.04 
#	Vc = 6 uV
#	Vfloor = -2.43 +/- 0.018 uV
Supply [A],Tap [uV],Shunt [A],Time [S]
0.000000,-2.400000,5.891910,0.064213
0.023333,-2.400000,6.233470,0.094646
0.046667,-2.500000,5.891910,0.100480
0.070000,-2.300000,5.977300,0.104797
0.093333,-2.600000,5.977300,0.108779
0.116667,-2.200000,6.062690,0.112789
0.140000,-2.400000,5.891910,0.117383
0.163333,-2.200000,5.977300,0.121250
0.186667,-2.100000,6.148080,0.125481
0.210000,-2.400000,5.977300,0.129623
0.233333,-2.400000,6.062690,0.133432
0.256667,-2.300000,6.233470,0.138298
0.280000,-2.400000,5.977300,0.142507
0.303333,-2.400000,6.062690,0.146596
0.326667,-2.400000,5.977300,0.150769
0.350000,-2.500000,5.806520,0.154565
0.373333,-2.400000,6.062690,0.158382
0.396667,-2.500000,6.062690,0.162120
0.420000,-1.800000,5.806520,0.165825
0.443333,-2.500000,6.404250,0.176415
0.466667,-2.100000,5.721130,0.180359
0.490000,-2.500000,5.721130,0.184143
0.513333,-2.400000,6.062690,0.187762
0.536667,-2.600000,6.062690,0.191415
0.560000,-2.600000,6.660420,0.195091
0.583333,-2.600000,6.062690,0.198781
0.606667,-2.500000,5.977300,0.202344
0.630000,-2.300000,6.233470,0.206323
0.653333,-2.500000,6.062690,0.210896
0.676667,-2.700000,5.977300,0.220242
0.700000,-2.400000,6.318860,0.225063
0.723333,-2.500000,6.233470,0.229864
0.746667,-2.200000,6.318860,0.239488
0.770000,-2.600000,6.404250,0.243557
0.793333,-2.500000,6.062690,0.250220
0.816667,-2.200000,6.062690,0.254503
0.840000,-2.500000,6.062690,0.258184
0.863333,-2.300000,6.233470,0.261740
0.886667,-2.600000,5.977300,0.265415
0.910000,-2.300000,6.318860,0.269195
0.933333,-2.600000,6.404250,0.272976
0.956667,-2.500000,6.404250,0.276752
0.980000,-2.500000,6.233470,0.280635
1.003333,-2.300000,5.806520,0.284290
1.026667,-2.300000,6.318860,0.288170
1.050000,-2.200000,6.233470,0.291836
1.073333,-2.500000,6.404250,0.295747
1.096667,-2.600000,6.148080,0.303646
1.120000,-2.200000,6.404250,0.311055
1.143333,-2.500000,6.062690,0.315152
1.166667,-2.200000,6.148080,0.318609
1.190000,-2.100000,6.575030,0.322197
1.213333,-2.400000,6.745810,0.325943
1.236667,-2.600000,6.575030,0.329546
1.260000,-2.600000,6.233470,0.333106
1.283333,-2.500000,6.489640,0.336777
1.306667,-2.000000,6.489640,0.340279
1.330000,-2.700000,6.489640,0.343863
1.353333,-2.500000,6.660420,0.347382
1.376667,-2.300000,6.062690,0.351137
1.400000,-2.400000,6.489640,0.354686
1.423333,-2.600000,6.318860,0.358380
1.446667,-2.500000,6.660420,0.362124
1.470000,-2.400000,6.575030,0.365743
1.493333,-2.600000,6.575030,0.369373
1.516667,-2.400000,6.575030,0.372880
1.540000,-2.600000,6.660420,0.376825
1.563333,-2.400000,6.318860,0.380323
1.586667,-2.400000,6.660420,0.383808
1.610000,-2.400000,6.489640,0.387592
1.633333,-2.600000,6.489640,0.391567
1.656667,-2.500000,6.660420,0.395514
1.680000,-2.400000,6.489640,0.399040
1.703333,-2.500000,6.745810,0.402504
1.726667,-2.300000,6.660420,0.406269
1.750000,-2.500000,6.831200,0.410175
1.773333,-2.100000,6.489640,0.413743
1.796667,-2.200000,6.745810,0.417393
1.820000,-2.400000,6.745810,0.420974
1.843333,-2.500000,6.831200,0.424789
1.866667,-2.300000,6.660420,0.428459
1.890000,-2.400000,6.660420,0.432251
1.913333,-2.400000,6.745810,0.435983
1.936667,-2.500000,7.001980,0.440169
1.960000,-2.500000,6.916590,0.444137
1.983333,-2.200000,6.745810,0.448027
2.006667,-2.500000,6.831200,0.451778
2.030000,-2.100000,7.001980,0.455692
2.053333,-2.400000,7.001980,0.459304
2.076667,-2.500000,6.745810,0.462881
2.100000,-2.600000,6.916590,0.466555
2.123333,-2.400000,6.660420,0.470156
2.146667,-2.300000,7.001980,0.473711
2.170000,-2.500000,6.660420,0.477324
2.193333,-2.400000,6.745810,0.481240
2.216667,-2.300000,6.745810,0.485219
2.240000,-2.200000,6.916590,0.489009
2.263333,-2.300000,7.001980,0.492789
2.286667,-2.400000,6.916590,0.496506
2.310000,-2.400000,6.916590,0.500167
2.333333,-2.200000,6.916590,0.504081
2.356667,-2.700000,7.172760,0.507682
2.380000,-2.400000,7.087370,0.511319
2.403333,-2.300000,6.745810,0.515090
2.426667,-2.400000,6.745810,0.518670
2.450000,-2.200000,7.258150,0.522138
2.473333,-2.600000,7.172760,0.525921
2.496667,-2.400000,7.172760,0.529650
2.520000,-2.500000,7.001980,0.533312
2.543333,-2.300000,6.916590,0.537023
2.566667,-2.400000,7.172760,0.540508
2.590000,-2.300000,7.087370,0.544174
2.613333,-2.100000,7.258150,0.548002
2.636667,-2.300000,6.660420,0.551496
2.660000,-2.500000,7.087370,0.555037
2.683333,-2.400000,7.001980,0.558617
2.706667,-2.400000,7.172760,0.562272
2.730000,-2.200000,7.172760,0.566128
2.753333,-2.600000,6.916590,0.569656
2.776667,-2.300000,7.343540,0.573169
2.800000,-2.600000,7.343540,0.576849
2.823333,-2.400000,7.258150,0.580585
2.846667,-2.400000,7.001980,0.584156
2.870000,-2.200000,7.172760,0.587800
2.893333,-2.700000,7.514320,0.591400
2.916667,-2.200000,7.343540,0.594901
2.940000,-2.300000,7.001980,0.598473
2.963333,-2.500000,7.172760,0.610271
2.986667,-2.300000,7.258150,0.614644
3.010000,-2.200000,7.258150,0.618263
3.033333,-2.500000,7.258150,0.621756
3.056667,-2.400000,7.343540,0.625262
3.080000,-2.500000,7.514320,0.628763
3.103333,-2.500000,7.258150,0.632409
3.126667,-2.500000,7.258150,0.636015
3.150000,-2.200000,7.685100,0.640222
3.173333,-2.600000,7.343540,0.643906
3.196667,-2.500000,7.172760,0.651256
3.220000,-2.500000,7.428930,0.655561
3.243333,-2.400000,7.685100,0.659181
3.266667,-2.000000,7.428930,0.666116
3.290000,-2.600000,7.428930,0.670611
3.313333,-2.700000,7.685100,0.674659
3.336667,-2.300000,7.428930,0.681608
3.360000,-2.300000,7.514320,0.685734
3.383333,-2.300000,7.514320,0.689450
3.406667,-2.500000,7.599710,0.697849
3.430000,-2.200000,7.258150,0.701683
3.453333,-2.400000,7.685100,0.706129
3.476667,-2.300000,7.599710,0.713194
3.500000,-2.500000,7.428930,0.717693
3.523333,-2.400000,7.685100,0.721772
3.546667,-2.200000,7.685100,0.728486
3.570000,-2.500000,7.428930,0.732037
3.593333,-2.200000,7.514320,0.736338
3.616667,-2.400000,7.770490,0.739971
3.640000,-2.700000,7.599710,0.747289
3.663333,-2.300000,7.428930,0.751736
3.686667,-2.700000,7.855880,0.755763
