# Date: 20200710
# Operator: SCAW
# Notes:
#	pp2-1 pre-test tap
#	z
# Tap_cm: 6.0
# Sample: pp2-1
# Fit of Tap:
#	Ic = 136 +/- 0.021 A
#	n = 28.4 +/- 0.2 
#	Vc = 6 uV
#	Vfloor = -1.6 +/- 0.006 uV
Supply [A],Tap [uV],Shunt [A],Time [S]
0.000000,-2.000000,5.550350,0.058490
0.023333,-1.600000,5.721130,0.124046
0.046667,-1.900000,5.464960,0.132155
0.070000,-1.800000,5.379570,0.140550
0.093333,-2.000000,5.721130,0.149756
0.116667,-1.700000,5.721130,0.153570
0.140000,-2.000000,5.721130,0.157451
0.163333,-2.000000,5.891910,0.162095
0.186667,-2.000000,5.721130,0.166026
0.210000,-1.800000,5.550350,0.169955
0.233333,-1.800000,5.721130,0.173967
0.256667,-1.800000,5.806520,0.178345
0.280000,-1.500000,5.635740,0.182124
0.303333,-1.800000,5.550350,0.186277
0.326667,-2.000000,5.806520,0.190602
0.350000,-2.000000,5.635740,0.195129
0.373333,-2.000000,5.891910,0.199591
0.396667,-1.600000,5.635740,0.203615
0.420000,-1.800000,5.550350,0.208326
0.443333,-1.800000,5.550350,0.213123
0.466667,-1.600000,5.635740,0.217156
0.490000,-1.800000,5.891910,0.221820
0.513333,-1.800000,5.635740,0.226623
0.536667,-1.800000,5.379570,0.231448
0.560000,-2.000000,5.806520,0.235421
0.583333,-1.800000,5.891910,0.239494
0.606667,-1.900000,5.806520,0.243804
0.630000,-1.800000,5.721130,0.247954
0.653333,-2.100000,5.806520,0.251897
0.676667,-1.900000,5.635740,0.264883
0.700000,-1.800000,5.721130,0.269660
0.723333,-2.200000,5.806520,0.273668
0.746667,-1.800000,5.891910,0.277462
0.770000,-1.900000,5.635740,0.281177
0.793333,-1.900000,5.635740,0.285074
0.816667,-1.700000,5.891910,0.288859
0.840000,-2.000000,5.977300,0.292529
0.863333,-1.800000,5.721130,0.296084
0.886667,-1.800000,5.806520,0.299665
0.910000,-1.800000,5.891910,0.303228
0.933333,-2.000000,5.977300,0.306886
0.956667,-1.700000,5.806520,0.310458
0.980000,-1.800000,5.806520,0.314090
1.003333,-1.700000,5.721130,0.317617
1.026667,-1.800000,5.977300,0.321178
1.050000,-1.800000,6.062690,0.324785
1.073333,-1.700000,6.062690,0.328360
1.096667,-1.600000,5.977300,0.331897
1.120000,-2.100000,5.891910,0.335469
1.143333,-1.600000,6.062690,0.339045
