# Date: 20200710
# Operator: SCAW
# Notes: pp2-2 pre-test tap y
# Tap_cm: 6.0
# Sample: pp2-2
# Fit of Tap:
#	Ic = 110 +/- 0 A
#	n = 969 +/- 0 
#	Vc = 6 uV
#	Vfloor = 0.944 +/- 0 uV
Supply [A],Tap [uV],Shunt [A],Time [S]
0.000000,2.000000,6.062690,0.046193
0.023333,2.200000,5.635740,0.071485
0.046667,2.300000,6.233470,0.075283
0.070000,1.900000,5.891910,0.079082
0.093333,2.300000,5.977300,0.083007
0.116667,2.100000,5.891910,0.086979
0.140000,2.100000,6.318860,0.090443
0.163333,2.200000,5.891910,0.093978
0.186667,2.000000,6.148080,0.098046
0.210000,2.100000,5.891910,0.101571
0.233333,2.200000,5.806520,0.105173
0.256667,2.100000,6.404250,0.108633
0.280000,2.300000,6.062690,0.116427
0.303333,2.300000,5.891910,0.122580
0.326667,2.400000,5.977300,0.126844
0.350000,2.200000,6.318860,0.130331
0.373333,1.900000,6.062690,0.133894
0.396667,2.100000,5.977300,0.137969
0.420000,2.300000,6.062690,0.141430
0.443333,2.000000,5.977300,0.145641
0.466667,2.200000,5.550350,0.150471
0.490000,2.100000,5.977300,0.154268
0.513333,2.200000,6.233470,0.158397
0.536667,2.000000,6.062690,0.162107
0.560000,2.000000,5.891910,0.166067
0.583333,2.100000,5.891910,0.169536
0.606667,2.400000,5.977300,0.173343
0.630000,1.800000,6.062690,0.177234
0.653333,2.100000,6.062690,0.181675
0.676667,2.300000,5.977300,0.185974
0.700000,2.100000,6.233470,0.189556
0.723333,1.700000,6.233470,0.193006
0.746667,2.400000,6.148080,0.196460
0.770000,2.300000,6.233470,0.200466
0.793333,2.100000,6.062690,0.204624
0.816667,2.100000,6.148080,0.208130
0.840000,2.100000,6.062690,0.212295
0.863333,2.200000,5.977300,0.215968
0.886667,2.000000,5.806520,0.219829
0.910000,2.400000,6.148080,0.223866
0.933333,2.100000,6.318860,0.227580
0.956667,2.000000,6.404250,0.231301
0.980000,2.300000,6.233470,0.235763
1.003333,2.700000,6.489640,0.240120
1.026667,2.200000,6.148080,0.243782
1.050000,2.100000,6.660420,0.247299
1.073333,2.100000,6.318860,0.250761
1.096667,2.000000,6.233470,0.257139
1.120000,2.100000,6.404250,0.261006
1.143333,2.300000,6.404250,0.265484
1.166667,2.000000,6.062690,0.269903
1.190000,2.200000,6.233470,0.273523
1.213333,2.300000,6.404250,0.277057
1.236667,2.400000,6.575030,0.280626
1.260000,2.400000,6.233470,0.284764
1.283333,2.100000,6.148080,0.289143
1.306667,1.900000,6.489640,0.293361
1.330000,2.300000,6.575030,0.297273
1.353333,2.200000,6.148080,0.301592
1.376667,2.000000,6.318860,0.305708
1.400000,2.000000,6.745810,0.309905
1.423333,2.500000,6.745810,0.314014
1.446667,2.300000,6.233470,0.317719
1.470000,2.100000,6.660420,0.321388
1.493333,2.100000,6.831200,0.325282
1.516667,2.400000,6.660420,0.328838
1.540000,2.100000,6.404250,0.333086
1.563333,2.200000,6.489640,0.337253
1.586667,2.400000,6.916590,0.341957
1.610000,2.100000,6.660420,0.345824
1.633333,2.000000,6.404250,0.350372
1.656667,2.100000,6.575030,0.355437
1.680000,2.000000,6.660420,0.360112
1.703333,2.200000,7.087370,0.364321
1.726667,2.200000,6.575030,0.368313
1.750000,2.000000,6.575030,0.371982
1.773333,2.200000,6.831200,0.375930
1.796667,2.400000,7.001980,0.380338
1.820000,2.200000,6.660420,0.384003
1.843333,1.900000,6.575030,0.388389
1.866667,2.100000,6.831200,0.393300
1.890000,2.400000,6.831200,0.398565
1.913333,2.200000,6.745810,0.402438
1.936667,2.100000,6.575030,0.406729
1.960000,2.000000,6.916590,0.410629
1.983333,2.100000,6.745810,0.422394
2.006667,1.700000,6.916590,0.426904
2.030000,2.000000,7.087370,0.430582
2.053333,2.300000,6.575030,0.434173
2.076667,1.900000,6.831200,0.438031
2.100000,2.000000,6.831200,0.441491
2.123333,2.100000,7.172760,0.444875
2.146667,2.100000,7.258150,0.464144
2.170000,2.200000,6.660420,0.467813
2.193333,2.000000,6.916590,0.471447
2.216667,2.300000,7.087370,0.474903
2.240000,2.200000,6.831200,0.478462
2.263333,2.500000,7.001980,0.482167
2.286667,1.800000,6.831200,0.485746
2.310000,2.200000,6.916590,0.498860
2.333333,2.100000,6.831200,0.502370
2.356667,2.300000,6.660420,0.505810
2.380000,2.000000,7.172760,0.509282
2.403333,1.900000,7.172760,0.513417
2.426667,2.100000,7.001980,0.517533
2.450000,2.100000,6.916590,0.521941
2.473333,2.000000,7.172760,0.525661
2.496667,2.300000,7.087370,0.529455
2.520000,2.200000,7.258150,0.533139
2.543333,2.200000,6.745810,0.537205
2.566667,2.200000,7.172760,0.541135
2.590000,2.300000,7.172760,0.545535
2.613333,2.300000,6.916590,0.549475
2.636667,2.300000,6.745810,0.553141
2.660000,2.100000,7.258150,0.557655
2.683333,2.400000,7.172760,0.561427
2.706667,2.500000,7.087370,0.565582
2.730000,2.000000,6.916590,0.570032
2.753333,2.200000,7.172760,0.573739
2.776667,2.000000,7.172760,0.577568
2.800000,2.100000,7.343540,0.581361
2.823333,2.400000,7.001980,0.585350
