# Date: 20200710
# Operator: SCAW
# Notes: pp2-2 pre-test tap y
# Tap_cm: 6.0
# Sample: pp2-2
# Fit of Tap:
#	Ic = 23.7 +/- 0 A
#	n = 934 +/- 0 
#	Vc = 6 uV
#	Vfloor = 9.85 +/- 0 uV
Supply [A],Tap [uV],Shunt [A],Time [S]
0.000000,11.200000,5.635740,0.041684
0.023333,10.800000,5.550350,0.066589
0.046667,11.300000,5.635740,0.077447
0.070000,11.200000,5.464960,0.081458
0.093333,11.200000,5.806520,0.084979
0.116667,10.900000,5.635740,0.088509
0.140000,11.400000,5.891910,0.091953
0.163333,11.200000,5.464960,0.095417
0.186667,11.200000,5.635740,0.098835
0.210000,11.100000,5.550350,0.102140
0.233333,11.300000,5.806520,0.105491
0.256667,11.100000,5.635740,0.108786
0.280000,11.200000,5.550350,0.112077
0.303333,11.100000,5.379570,0.115386
0.326667,11.100000,5.550350,0.118690
0.350000,10.900000,5.721130,0.121980
0.373333,11.200000,5.891910,0.125279
0.396667,11.000000,5.635740,0.128578
0.420000,11.100000,5.550350,0.131869
0.443333,11.000000,5.806520,0.135158
0.466667,10.700000,5.550350,0.138456
0.490000,11.200000,5.891910,0.141761
0.513333,11.100000,5.635740,0.145058
0.536667,11.000000,5.635740,0.148348
0.560000,11.300000,5.891910,0.151650
0.583333,11.000000,5.721130,0.154957
0.606667,11.200000,5.721130,0.158252
0.630000,11.000000,5.550350,0.161552
0.653333,11.300000,5.635740,0.164836
0.676667,11.200000,5.635740,0.168125
0.700000,10.800000,5.806520,0.171419
0.723333,11.000000,5.806520,0.174710
0.746667,11.000000,5.806520,0.178136
0.770000,11.000000,5.464960,0.181715
0.793333,11.000000,5.721130,0.185117
0.816667,10.600000,6.062690,0.188523
0.840000,11.300000,5.806520,0.191907
0.863333,11.100000,5.977300,0.195271
0.886667,11.100000,5.550350,0.198723
0.910000,11.000000,5.891910,0.202084
0.933333,10.900000,5.891910,0.205426
0.956667,11.100000,6.148080,0.208722
0.980000,11.000000,5.806520,0.212010
1.003333,10.800000,5.891910,0.215337
1.026667,11.100000,5.977300,0.218636
1.050000,10.900000,5.977300,0.221930
1.073333,11.200000,6.233470,0.225230
1.096667,11.000000,5.806520,0.228528
1.120000,11.000000,5.891910,0.231814
1.143333,11.100000,6.062690,0.235106
1.166667,10.500000,6.233470,0.238400
1.190000,11.200000,6.062690,0.241690
1.213333,11.100000,5.977300,0.244986
1.236667,11.000000,5.977300,0.248276
1.260000,10.900000,6.233470,0.251569
1.283333,10.900000,6.233470,0.254860
1.306667,11.200000,6.233470,0.258155
1.330000,11.100000,6.233470,0.261455
1.353333,11.000000,6.062690,0.264774
1.376667,11.100000,6.062690,0.268092
1.400000,11.100000,6.404250,0.271383
1.423333,10.900000,6.233470,0.274695
1.446667,11.100000,6.148080,0.277984
1.470000,11.000000,6.148080,0.281350
1.493333,10.900000,6.233470,0.284990
1.516667,10.800000,6.318860,0.288428
1.540000,11.100000,6.062690,0.291727
1.563333,11.100000,6.233470,0.295025
1.586667,10.500000,6.233470,0.298339
1.610000,10.900000,6.233470,0.301637
1.633333,10.500000,6.318860,0.304927
1.656667,11.000000,6.318860,0.308225
1.680000,11.200000,6.233470,0.311519
1.703333,10.900000,5.977300,0.314825
1.726667,10.900000,6.233470,0.318124
1.750000,10.900000,6.404250,0.321409
1.773333,11.000000,6.489640,0.324703
1.796667,11.100000,6.318860,0.327995
1.820000,11.000000,6.318860,0.331286
1.843333,11.000000,6.148080,0.334589
1.866667,11.000000,6.575030,0.337881
1.890000,10.500000,6.489640,0.341170
1.913333,11.100000,6.318860,0.344456
1.936667,11.000000,6.404250,0.347746
1.960000,11.000000,6.318860,0.357906
1.983333,10.800000,6.489640,0.361664
2.006667,11.100000,6.404250,0.364996
2.030000,11.000000,6.318860,0.368304
2.053333,11.000000,6.831200,0.371598
2.076667,11.300000,6.745810,0.374899
2.100000,11.000000,6.575030,0.378198
2.123333,11.000000,6.489640,0.381491
2.146667,11.000000,6.489640,0.384780
2.170000,10.800000,6.660420,0.388275
2.193333,11.000000,6.575030,0.391828
2.216667,11.000000,6.575030,0.395228
2.240000,10.800000,6.148080,0.398645
2.263333,11.000000,6.660420,0.402035
2.286667,10.600000,6.745810,0.405465
2.310000,11.000000,6.745810,0.408878
2.333333,10.900000,6.575030,0.412218
2.356667,10.900000,6.233470,0.415559
2.380000,11.100000,6.660420,0.418909
2.403333,11.100000,6.831200,0.422254
2.426667,10.900000,6.745810,0.425692
2.450000,11.200000,6.489640,0.429121
2.473333,11.000000,6.233470,0.432452
2.496667,11.000000,6.916590,0.435758
2.520000,10.600000,6.916590,0.439057
2.543333,11.100000,6.916590,0.442350
2.566667,11.100000,6.489640,0.445644
2.590000,11.200000,6.489640,0.448934
2.613333,11.000000,6.575030,0.452218
2.636667,11.000000,6.745810,0.455512
2.660000,10.800000,7.087370,0.458805
