# Date: 20200710
# Operator: SCAW
# Notes: pp2-2 pre-test tap y
# Tap_cm: 6.0
# Sample: pp2-2
# Fit of Tap:
#	Ic = 139 +/- 0.038 A
#	n = 40 +/- 0.53 
#	Vc = 6 uV
#	Vfloor = 0.349 +/- 0.0035 uV
Supply [A],Tap [uV],Shunt [A],Time [S]
0.000000,0.400000,6.148080,0.045366
0.023333,0.300000,6.062690,0.079297
0.046667,0.200000,6.148080,0.083562
0.070000,0.500000,5.806520,0.087773
0.093333,0.400000,5.977300,0.091707
0.116667,0.400000,6.062690,0.095754
0.140000,0.200000,6.062690,0.099909
0.163333,0.500000,5.806520,0.104010
0.186667,0.400000,5.891910,0.107959
0.210000,0.100000,5.977300,0.111917
0.233333,0.300000,6.318860,0.116076
0.256667,0.500000,5.806520,0.120183
0.280000,0.400000,6.148080,0.124119
0.303333,0.400000,6.148080,0.128090
0.326667,0.500000,5.977300,0.132237
0.350000,0.200000,5.721130,0.136422
0.373333,0.400000,6.062690,0.140361
0.396667,0.400000,6.062690,0.144347
0.420000,0.500000,6.062690,0.148494
0.443333,0.300000,5.977300,0.152595
0.466667,0.400000,6.062690,0.156505
0.490000,0.500000,6.318860,0.159844
0.513333,0.000000,6.233470,0.163271
0.536667,0.600000,6.233470,0.166667
0.560000,0.100000,5.891910,0.173719
0.583333,0.400000,6.148080,0.180144
0.606667,0.600000,6.062690,0.183957
0.630000,0.400000,5.891910,0.187267
0.653333,0.400000,5.977300,0.190903
0.676667,0.600000,6.489640,0.194196
0.700000,0.400000,6.318860,0.197477
0.723333,0.500000,6.062690,0.200863
0.746667,0.300000,6.062690,0.204157
0.770000,0.500000,6.233470,0.207439
0.793333,0.300000,6.404250,0.211384
0.816667,0.500000,6.318860,0.214762
0.840000,0.200000,6.148080,0.218061
0.863333,0.300000,6.062690,0.221340
0.886667,0.400000,6.318860,0.224618
0.910000,0.400000,6.404250,0.227893
0.933333,0.500000,6.233470,0.231178
0.956667,0.500000,5.977300,0.234569
0.980000,0.400000,6.233470,0.237861
1.003333,0.200000,6.148080,0.241134
1.026667,0.400000,6.404250,0.244442
1.050000,0.100000,6.318860,0.247717
1.073333,0.400000,6.233470,0.250996
1.096667,0.300000,6.233470,0.254279
1.120000,0.300000,6.148080,0.257567
1.143333,0.400000,6.660420,0.260848
1.166667,0.100000,6.489640,0.264125
1.190000,0.400000,6.404250,0.267404
1.213333,0.300000,6.404250,0.270681
1.236667,0.300000,6.404250,0.273962
1.260000,0.400000,6.489640,0.277245
1.283333,0.400000,6.575030,0.280535
1.306667,0.400000,6.404250,0.283838
1.330000,0.300000,6.489640,0.287124
1.353333,0.400000,6.489640,0.290426
1.376667,0.100000,6.660420,0.293720
1.400000,0.400000,6.745810,0.297002
1.423333,0.600000,6.489640,0.300283
1.446667,0.400000,6.404250,0.303557
1.470000,0.000000,6.575030,0.306840
1.493333,0.400000,6.575030,0.310118
1.516667,0.400000,6.575030,0.313395
1.540000,0.500000,6.745810,0.316674
1.563333,0.500000,6.489640,0.319951
1.586667,0.400000,6.745810,0.323230
1.610000,0.400000,6.575030,0.326511
1.633333,0.400000,6.916590,0.329799
1.656667,0.500000,6.575030,0.333084
1.680000,0.300000,6.575030,0.336364
1.703333,0.300000,6.660420,0.339648
1.726667,0.400000,6.916590,0.342925
1.750000,0.500000,6.575030,0.346199
1.773333,0.400000,6.745810,0.349481
1.796667,0.400000,6.489640,0.352762
1.820000,0.300000,6.831200,0.356058
1.843333,0.500000,6.745810,0.359336
1.866667,0.300000,6.745810,0.362608
1.890000,0.400000,6.916590,0.365882
1.913333,0.200000,6.318860,0.369161
1.936667,0.600000,6.575030,0.372439
1.960000,0.400000,6.745810,0.375717
1.983333,0.500000,6.831200,0.378989
2.006667,0.500000,7.001980,0.382269
2.030000,0.600000,6.660420,0.385822
2.053333,0.300000,6.660420,0.389155
2.076667,0.400000,6.831200,0.392449
2.100000,0.400000,6.831200,0.395729
2.123333,0.300000,7.172760,0.399012
2.146667,0.400000,6.575030,0.402294
2.170000,0.600000,6.575030,0.405575
2.193333,0.500000,6.831200,0.408854
2.216667,0.500000,6.831200,0.412137
2.240000,0.500000,7.001980,0.415421
2.263333,0.300000,7.001980,0.418698
2.286667,0.200000,6.745810,0.421971
2.310000,0.500000,7.087370,0.425258
2.333333,0.100000,7.087370,0.428543
2.356667,0.400000,7.172760,0.431821
2.380000,0.300000,6.916590,0.435101
2.403333,0.400000,6.660420,0.438378
2.426667,0.500000,7.001980,0.441655
2.450000,0.200000,7.001980,0.444933
2.473333,0.400000,7.258150,0.448237
2.496667,0.500000,6.831200,0.451707
2.520000,0.700000,7.001980,0.455124
2.543333,0.400000,7.001980,0.458429
2.566667,0.200000,7.258150,0.461850
2.590000,0.600000,7.087370,0.465313
2.613333,0.300000,7.172760,0.468621
2.636667,0.100000,7.172760,0.478558
2.660000,0.600000,7.599710,0.482387
2.683333,0.500000,6.745810,0.485708
2.706667,0.500000,7.001980,0.488997
2.730000,0.300000,7.258150,0.492292
2.753333,0.500000,7.343540,0.495585
2.776667,0.600000,7.001980,0.501188
2.800000,0.200000,7.172760,0.504616
2.823333,0.500000,7.258150,0.507924
2.846667,0.600000,7.514320,0.511216
2.870000,0.300000,7.428930,0.514538
2.893333,0.500000,7.001980,0.517830
2.916667,0.200000,7.001980,0.521113
2.940000,0.400000,7.087370,0.524427
2.963333,0.400000,7.599710,0.527722
2.986667,0.100000,7.258150,0.530997
3.010000,0.500000,7.343540,0.534289
3.033333,0.300000,7.258150,0.537581
3.056667,0.600000,7.172760,0.540878
3.080000,0.700000,7.514320,0.544172
3.103333,0.500000,7.428930,0.547462
3.126667,0.500000,7.343540,0.550752
3.150000,0.300000,7.258150,0.554038
3.173333,0.400000,7.343540,0.557331
3.196667,0.600000,7.599710,0.560633
3.220000,0.200000,7.514320,0.563924
3.243333,0.400000,7.428930,0.567213
3.266667,0.500000,7.343540,0.570513
3.290000,0.300000,7.343540,0.573806
3.313333,0.500000,7.685100,0.577091
3.336667,0.600000,7.770490,0.580384
3.360000,0.300000,7.685100,0.583685
3.383333,0.500000,7.428930,0.586967
3.406667,0.100000,7.343540,0.590261
3.430000,0.500000,7.599710,0.593545
3.453333,0.200000,7.685100,0.596839
3.476667,0.300000,7.599710,0.600154
3.500000,0.700000,7.685100,0.603446
3.523333,0.400000,7.428930,0.606766
3.546667,0.600000,7.770490,0.610066
3.570000,0.300000,7.599710,0.613344
3.593333,0.500000,7.685100,0.616640
3.616667,0.400000,7.599710,0.619931
3.640000,0.400000,7.599710,0.623219
3.663333,0.700000,7.941270,0.626520
3.686667,0.500000,7.770490,0.629807
3.710000,0.400000,7.685100,0.633093
3.733333,0.500000,7.514320,0.636402
3.756667,0.500000,7.514320,0.639700
3.780000,0.400000,7.685100,0.642988
3.803333,0.400000,7.685100,0.646282
3.826667,0.200000,7.941270,0.649573
3.850000,0.300000,7.514320,0.652860
3.873333,0.700000,7.428930,0.656151
3.896667,0.600000,7.770490,0.659446
3.920000,0.500000,7.770490,0.662732
3.943333,0.600000,8.112050,0.666069
3.966667,0.300000,7.514320,0.669371
3.990000,0.400000,7.855880,0.672683
4.013333,0.400000,7.770490,0.676006
4.036667,0.500000,7.855880,0.679306
4.060000,0.200000,7.941270,0.682611
4.083333,0.300000,7.428930,0.685909
4.106667,0.400000,7.685100,0.689370
4.130000,0.600000,8.026660,0.693104
4.153333,0.500000,8.282830,0.696841
4.176667,0.400000,7.855880,0.700243
4.200000,0.500000,7.685100,0.703537
4.223333,0.400000,7.941270,0.706835
4.246667,0.300000,8.112050,0.710121
4.270000,0.300000,7.855880,0.713414
4.293333,0.300000,7.855880,0.716752
4.316667,0.700000,7.941270,0.720056
4.340000,0.300000,7.770490,0.723342
4.363333,0.500000,8.197440,0.726645
4.386667,0.400000,7.855880,0.729997
4.410000,0.400000,8.112050,0.733308
4.433333,0.200000,7.855880,0.736604
4.456667,0.300000,8.026660,0.739901
4.480000,0.500000,8.282830,0.743181
4.503333,0.200000,7.941270,0.746478
4.526667,0.600000,8.197440,0.749781
4.550000,0.200000,7.941270,0.753069
4.573333,0.400000,8.112050,0.756352
4.596667,0.300000,8.112050,0.759651
4.620000,0.400000,8.112050,0.762946
4.643333,0.700000,8.368220,0.766225
4.666667,0.300000,8.197440,0.773346
4.690000,0.400000,8.026660,0.779858
4.713333,0.300000,8.112050,0.783716
4.736667,0.300000,8.112050,0.787055
4.760000,0.400000,8.026660,0.790366
4.783333,0.700000,8.282830,0.793868
4.806667,0.300000,8.368220,0.797507
4.830000,0.300000,8.282830,0.800967
4.853333,0.200000,8.282830,0.804345
4.876667,0.400000,8.112050,0.807715
4.900000,0.600000,8.368220,0.811044
4.923333,0.600000,8.539000,0.814514
4.946667,0.400000,8.197440,0.817970
4.970000,0.300000,8.368220,0.821314
4.993333,0.500000,8.197440,0.824658
5.016667,0.400000,8.539000,0.827964
5.040000,0.100000,8.453610,0.831273
5.063333,0.500000,8.197440,0.834575
5.086667,0.300000,8.453610,0.837869
5.110000,0.400000,8.112050,0.841161
5.133333,0.500000,8.709780,0.844484
5.156667,0.400000,8.453610,0.847793
5.180000,0.500000,8.539000,0.851081
5.203333,0.400000,8.282830,0.854367
5.226667,0.500000,8.368220,0.857668
5.250000,0.400000,8.539000,0.860954
