# Date: 20200710
# Operator: SCAW
# Notes: pp2-2 pre-test tap y
# Tap_cm: 6.0
# Sample: pp2-2
# Fit of Tap:
#	Ic = 139 +/- 0.027 A
#	n = 37 +/- 0.38 
#	Vc = 6 uV
#	Vfloor = -0.287 +/- 0.0033 uV
Supply [A],Tap [uV],Shunt [A],Time [S]
0.000000,-0.500000,5.806520,0.055372
0.023333,-0.500000,5.635740,0.086927
0.046667,-0.500000,5.550350,0.090856
0.070000,-0.100000,5.891910,0.094546
0.093333,-0.400000,5.891910,0.098584
0.116667,-0.400000,5.550350,0.102721
0.140000,-0.100000,5.721130,0.106468
0.163333,-0.200000,6.148080,0.110096
0.186667,-0.200000,5.891910,0.113673
0.210000,-0.400000,5.891910,0.117924
0.233333,-0.400000,5.721130,0.121720
0.256667,-0.500000,5.806520,0.125593
0.280000,-0.500000,5.721130,0.129119
0.303333,-0.300000,5.891910,0.132792
0.326667,-0.300000,5.550350,0.136685
0.350000,-0.800000,5.721130,0.140518
0.373333,-0.500000,6.062690,0.144431
0.396667,-0.300000,5.806520,0.148244
0.420000,-0.300000,5.721130,0.152353
0.443333,-0.200000,5.721130,0.156201
0.466667,-0.400000,5.806520,0.160151
0.490000,-0.700000,5.806520,0.163798
0.513333,-0.200000,5.721130,0.168348
0.536667,-0.300000,5.977300,0.180140
0.560000,-0.400000,5.806520,0.185239
0.583333,-0.300000,5.635740,0.189103
0.606667,0.000000,5.721130,0.193114
0.630000,-0.400000,5.977300,0.196749
0.653333,-0.500000,6.148080,0.200518
0.676667,-0.300000,5.721130,0.204135
0.700000,-0.400000,5.635740,0.207799
0.723333,-0.400000,6.062690,0.211344
0.746667,-0.500000,6.062690,0.215712
0.770000,-0.400000,5.635740,0.219809
0.793333,-0.200000,5.977300,0.223638
0.816667,-0.400000,6.062690,0.227545
0.840000,-0.400000,5.806520,0.231840
0.863333,-0.300000,5.721130,0.235887
0.886667,-0.400000,5.635740,0.239769
0.910000,-0.400000,6.233470,0.243345
0.933333,-0.400000,6.148080,0.246860
0.956667,-0.500000,6.062690,0.250378
0.980000,-0.200000,6.062690,0.254455
1.003333,-0.300000,5.977300,0.258177
1.026667,-0.300000,6.233470,0.261961
1.050000,-0.200000,6.318860,0.266082
1.073333,-0.600000,6.062690,0.270236
1.096667,-0.700000,5.977300,0.274426
1.120000,-0.400000,6.318860,0.278309
1.143333,-0.400000,6.148080,0.282109
1.166667,-0.200000,6.233470,0.285788
1.190000,-0.300000,5.977300,0.289712
1.213333,-0.300000,6.404250,0.293246
1.236667,-0.400000,6.148080,0.296786
1.260000,-0.700000,6.404250,0.300294
1.283333,-0.100000,6.062690,0.303957
1.306667,-0.500000,6.062690,0.308252
1.330000,-0.400000,6.318860,0.312557
1.353333,-0.400000,6.404250,0.316736
1.376667,-0.300000,5.806520,0.320515
1.400000,-0.300000,6.062690,0.324661
1.423333,-0.200000,6.404250,0.328646
1.446667,-0.400000,6.404250,0.332650
1.470000,-0.500000,6.062690,0.336925
1.493333,-0.400000,6.233470,0.341480
1.516667,-0.300000,6.404250,0.346174
1.540000,-0.300000,6.660420,0.350274
1.563333,-0.400000,6.318860,0.354646
1.586667,-0.400000,6.318860,0.359272
1.610000,-0.100000,6.318860,0.363622
1.633333,-0.200000,6.404250,0.368267
1.656667,-0.700000,6.148080,0.372438
1.680000,-0.300000,6.404250,0.376464
1.703333,-0.400000,6.575030,0.380917
1.726667,-0.400000,6.318860,0.385420
1.750000,-0.300000,6.318860,0.389648
1.773333,-0.500000,6.660420,0.394266
1.796667,-0.600000,6.660420,0.398365
1.820000,-0.300000,6.489640,0.402422
1.843333,-0.300000,6.575030,0.406695
1.866667,-0.200000,6.660420,0.411071
1.890000,-0.400000,6.660420,0.415373
1.913333,-0.300000,6.489640,0.419571
1.936667,-0.400000,6.404250,0.423858
1.960000,-0.400000,6.660420,0.428334
1.983333,-0.400000,6.660420,0.432624
2.006667,-0.500000,6.404250,0.436806
2.030000,-0.400000,6.575030,0.441313
2.053333,-0.500000,6.831200,0.445479
2.076667,-0.200000,6.745810,0.449594
2.100000,-0.400000,6.489640,0.454223
2.123333,-0.500000,6.318860,0.458408
2.146667,-0.300000,6.660420,0.462556
2.170000,-0.400000,6.745810,0.467261
2.193333,-0.300000,6.831200,0.471853
2.216667,-0.700000,6.660420,0.487250
2.240000,-0.500000,6.660420,0.492474
2.263333,-0.600000,6.745810,0.496858
2.286667,-0.400000,6.745810,0.501271
2.310000,-0.400000,6.831200,0.505409
2.333333,-0.300000,6.745810,0.509728
2.356667,-0.300000,6.831200,0.514047
2.380000,-0.300000,6.660420,0.523272
2.403333,-0.300000,6.745810,0.527832
2.426667,-0.500000,6.660420,0.532284
2.450000,-0.300000,6.575030,0.536644
2.473333,-0.500000,6.660420,0.541092
2.496667,-0.200000,7.001980,0.545264
2.520000,-0.300000,6.916590,0.549417
2.543333,-0.200000,6.575030,0.553331
2.566667,-0.500000,6.916590,0.557407
2.590000,-0.200000,7.172760,0.561590
2.613333,-0.500000,6.916590,0.566019
2.636667,-0.400000,6.745810,0.570364
2.660000,-0.700000,6.745810,0.575176
2.683333,-0.500000,7.001980,0.579593
2.706667,-0.300000,7.087370,0.584247
2.730000,-0.200000,6.831200,0.588627
2.753333,-0.500000,7.087370,0.593387
2.776667,-0.700000,6.831200,0.607884
2.800000,-0.600000,7.001980,0.617891
2.823333,-0.400000,7.001980,0.621749
2.846667,-0.200000,7.258150,0.625621
2.870000,-0.600000,7.001980,0.629472
2.893333,-0.400000,7.087370,0.633168
2.916667,-0.300000,7.087370,0.636909
2.940000,-0.200000,6.831200,0.640677
2.963333,-0.100000,7.001980,0.644435
2.986667,-0.500000,7.172760,0.648162
3.010000,-0.300000,7.172760,0.651856
3.033333,-0.200000,7.172760,0.655624
3.056667,-0.400000,7.001980,0.659340
3.080000,-0.400000,7.172760,0.663029
3.103333,-0.400000,7.428930,0.666753
3.126667,-0.400000,7.172760,0.670442
3.150000,-0.600000,7.087370,0.674151
3.173333,-0.400000,7.343540,0.677868
3.196667,-0.400000,7.428930,0.681603
3.220000,-0.600000,6.916590,0.685349
3.243333,-0.400000,7.001980,0.689067
3.266667,-0.400000,7.428930,0.692775
3.290000,-0.200000,7.001980,0.696595
3.313333,-0.400000,7.343540,0.700326
3.336667,-0.100000,7.172760,0.704150
3.360000,-0.700000,7.172760,0.707893
3.383333,-0.400000,7.770490,0.711587
3.406667,-0.400000,7.343540,0.715322
3.430000,-0.300000,7.258150,0.719015
3.453333,-0.500000,7.087370,0.722736
3.476667,-0.400000,7.258150,0.726555
3.500000,-0.200000,7.172760,0.730258
3.523333,-0.300000,7.428930,0.734056
3.546667,-0.200000,7.343540,0.737793
3.570000,-0.500000,7.258150,0.741481
3.593333,-0.600000,7.599710,0.745211
3.616667,-0.500000,7.428930,0.748929
3.640000,-0.400000,7.428930,0.752640
3.663333,-0.500000,7.343540,0.756385
3.686667,-0.100000,7.428930,0.760155
3.710000,-0.500000,7.514320,0.763855
3.733333,-0.400000,7.343540,0.767667
3.756667,-0.400000,7.514320,0.779301
3.780000,-0.200000,7.685100,0.783718
3.803333,-0.400000,7.514320,0.787483
3.826667,-0.400000,7.428930,0.791237
3.850000,-0.400000,7.770490,0.794928
3.873333,-0.200000,7.514320,0.798647
3.896667,-0.400000,7.428930,0.802337
3.920000,-0.400000,7.172760,0.806072
3.943333,-0.400000,7.599710,0.809763
3.966667,-0.200000,7.599710,0.813431
3.990000,-0.500000,7.599710,0.817126
4.013333,-0.300000,7.599710,0.820850
4.036667,-0.600000,7.599710,0.824653
4.060000,-0.300000,7.855880,0.828357
4.083333,-0.500000,7.685100,0.832020
4.106667,-0.400000,7.428930,0.835839
4.130000,-0.400000,7.428930,0.839541
4.153333,-0.400000,7.685100,0.843166
4.176667,-0.500000,7.514320,0.846866
4.200000,-0.500000,7.770490,0.850398
4.223333,-0.400000,7.599710,0.854107
4.246667,-0.400000,7.685100,0.857660
4.270000,-0.400000,7.855880,0.861164
4.293333,-0.400000,7.770490,0.864900
4.316667,-0.300000,7.599710,0.868530
4.340000,-0.300000,7.685100,0.872159
4.363333,-0.200000,7.599710,0.875749
4.386667,-0.400000,7.770490,0.879341
4.410000,-0.400000,7.941270,0.882843
4.433333,-0.300000,7.599710,0.886485
4.456667,-0.300000,7.514320,0.890029
4.480000,-0.200000,7.941270,0.893566
4.503333,-0.400000,7.855880,0.897310
4.526667,-0.700000,7.855880,0.900898
4.550000,-0.100000,7.855880,0.904366
4.573333,-0.600000,7.685100,0.907951
4.596667,-0.200000,7.941270,0.911452
4.620000,-0.500000,8.026660,0.915005
4.643333,-0.400000,7.941270,0.918504
4.666667,-0.400000,8.026660,0.921969
4.690000,-0.300000,7.941270,0.925452
4.713333,-0.600000,8.026660,0.928955
4.736667,-0.400000,8.026660,0.932371
4.760000,-0.100000,7.941270,0.935893
4.783333,-0.300000,7.599710,0.939402
4.806667,-0.400000,7.941270,0.942818
4.830000,-0.600000,8.026660,0.946303
4.853333,-0.300000,8.197440,0.949731
4.876667,-0.300000,8.112050,0.953182
4.900000,-0.100000,7.855880,0.956636
4.923333,-0.400000,7.941270,0.960056
4.946667,-0.100000,8.026660,0.963465
4.970000,-0.300000,8.197440,0.966914
4.993333,-0.400000,8.026660,0.976288
5.016667,-0.200000,8.368220,1.048678
5.040000,-0.200000,8.453610,1.066367
5.063333,-0.300000,8.197440,1.074028
5.086667,-0.300000,8.453610,1.079971
5.110000,-0.500000,8.197440,1.084215
5.133333,0.000000,8.112050,1.087746
5.156667,-0.600000,8.197440,1.091208
5.180000,-0.300000,8.282830,1.094647
5.203333,-0.500000,8.453610,1.098084
