# Date: 20200710
# Operator: SCAW
# Notes: pp2-2 pre-test tap y
# Tap_cm: 6.0
# Sample: pp2-2
# Fit of Tap:
#	Ic = 139 +/- 0.024 A
#	n = 37.7 +/- 0.4 
#	Vc = 6 uV
#	Vfloor = -0.439 +/- 0.0037 uV
Supply [A],Tap [uV],Shunt [A],Time [S]
0.000000,-0.700000,5.379570,0.043658
0.023333,-0.800000,5.635740,0.065889
0.046667,-0.700000,5.721130,0.069789
0.070000,-0.500000,5.550350,0.073367
0.093333,-0.600000,5.294180,0.076893
0.116667,-0.500000,5.379570,0.080388
0.140000,-0.500000,5.464960,0.083836
0.163333,-0.600000,5.550350,0.087317
0.186667,-0.600000,5.635740,0.090858
0.210000,-0.400000,5.464960,0.094389
0.233333,-0.900000,5.294180,0.097853
0.256667,-0.600000,5.806520,0.101377
0.280000,-0.600000,5.550350,0.104961
0.303333,-0.600000,5.721130,0.108441
0.326667,-0.500000,5.550350,0.111978
0.350000,-0.700000,5.379570,0.115650
0.373333,-0.600000,5.721130,0.119220
0.396667,-0.500000,5.550350,0.122803
0.420000,-0.400000,5.721130,0.126457
0.443333,-0.700000,5.379570,0.130104
0.466667,-0.600000,5.464960,0.133734
0.490000,-0.500000,5.806520,0.137317
0.513333,-0.700000,5.635740,0.140836
0.536667,-0.500000,5.550350,0.144366
0.560000,-0.700000,5.294180,0.147916
0.583333,-0.600000,5.635740,0.151394
0.606667,-0.500000,5.635740,0.154941
0.630000,-0.600000,5.635740,0.158409
0.653333,-1.000000,5.721130,0.161919
0.676667,-0.700000,5.550350,0.165562
0.700000,-0.600000,5.721130,0.169054
0.723333,-0.600000,5.806520,0.172540
0.746667,-0.400000,5.550350,0.176047
0.770000,-0.700000,5.721130,0.179524
0.793333,-0.600000,5.379570,0.183017
0.816667,-0.900000,5.806520,0.186531
0.840000,-0.400000,5.721130,0.189994
0.863333,-0.700000,5.806520,0.193421
0.886667,-0.600000,5.635740,0.196986
0.910000,-0.900000,5.635740,0.200431
0.933333,-0.400000,5.635740,0.204045
0.956667,-0.800000,5.977300,0.207551
0.980000,-0.600000,5.721130,0.211031
1.003333,-0.700000,5.721130,0.214604
1.026667,-0.700000,5.806520,0.218085
1.050000,-0.800000,5.891910,0.221545
1.073333,-0.900000,5.635740,0.229161
1.096667,-0.700000,6.148080,0.235434
1.120000,-0.500000,5.721130,0.239493
1.143333,-0.600000,5.806520,0.243013
1.166667,-0.500000,5.721130,0.246608
1.190000,-0.400000,5.977300,0.250233
1.213333,-0.600000,5.806520,0.253777
1.236667,-0.500000,5.977300,0.257286
1.260000,-0.400000,5.635740,0.260731
1.283333,-0.400000,5.721130,0.264270
1.306667,-0.700000,5.977300,0.267869
1.330000,-0.500000,5.977300,0.271478
1.353333,-0.600000,5.891910,0.275090
1.376667,-0.600000,5.806520,0.278713
1.400000,-0.900000,5.977300,0.282283
1.423333,-0.400000,6.148080,0.285879
1.446667,-0.800000,6.062690,0.289500
1.470000,-0.600000,5.891910,0.293101
1.493333,-0.500000,5.635740,0.296605
1.516667,-0.600000,6.062690,0.300227
1.540000,-0.400000,5.977300,0.303818
1.563333,-0.600000,6.404250,0.307444
1.586667,-0.700000,5.806520,0.310973
1.610000,-1.000000,5.977300,0.314705
1.633333,-0.400000,6.062690,0.318347
1.656667,-0.600000,6.233470,0.321979
1.680000,-0.600000,6.148080,0.325651
1.703333,-0.600000,6.062690,0.329240
1.726667,-0.600000,6.148080,0.332958
1.750000,-0.700000,6.489640,0.336582
1.773333,-0.400000,6.233470,0.340220
1.796667,-0.600000,5.891910,0.343870
1.820000,-0.500000,6.233470,0.347490
1.843333,-0.500000,6.404250,0.351188
1.866667,-0.800000,6.318860,0.354872
1.890000,-0.800000,6.318860,0.358495
1.913333,-0.500000,6.318860,0.362166
1.936667,-0.700000,6.148080,0.365720
1.960000,-0.400000,6.575030,0.369310
1.983333,-0.600000,6.318860,0.373030
2.006667,-0.700000,6.233470,0.376723
2.030000,-0.400000,6.062690,0.380416
2.053333,-0.500000,6.575030,0.384085
2.076667,-0.500000,6.318860,0.387667
2.100000,-0.700000,6.489640,0.391293
2.123333,-0.300000,6.318860,0.395100
2.146667,-0.600000,6.233470,0.398760
2.170000,-0.600000,6.660420,0.402505
2.193333,-0.700000,6.318860,0.406366
2.216667,-0.500000,6.660420,0.410040
2.240000,-0.600000,6.148080,0.413858
2.263333,-0.800000,6.660420,0.417701
2.286667,-0.800000,6.745810,0.421342
2.310000,-0.500000,6.489640,0.425029
2.333333,-0.400000,6.489640,0.428623
2.356667,-0.700000,6.404250,0.432249
2.380000,-0.100000,6.745810,0.435830
2.403333,-0.600000,6.745810,0.439437
2.426667,-0.700000,6.575030,0.443166
2.450000,-0.600000,6.318860,0.446808
2.473333,-0.400000,6.489640,0.450481
2.496667,-0.700000,6.660420,0.454196
2.520000,-0.600000,6.660420,0.457774
2.543333,-0.500000,6.575030,0.461463
2.566667,-0.800000,6.660420,0.465180
2.590000,-0.700000,7.001980,0.468805
2.613333,-0.700000,6.831200,0.472354
2.636667,-0.400000,6.575030,0.476004
2.660000,-0.600000,6.660420,0.479602
2.683333,-0.500000,6.660420,0.483315
2.706667,-0.700000,6.831200,0.487006
2.730000,-0.500000,6.916590,0.490634
2.753333,-0.600000,6.575030,0.494934
2.776667,-0.500000,6.575030,0.498702
2.800000,-0.600000,7.001980,0.502463
2.823333,-0.900000,6.745810,0.506282
2.846667,-0.600000,6.660420,0.509987
2.870000,-0.600000,6.575030,0.513832
2.893333,-0.600000,6.916590,0.517579
2.916667,-0.800000,6.916590,0.521345
2.940000,-0.500000,6.831200,0.525114
2.963333,-0.800000,6.831200,0.533436
2.986667,-0.600000,7.087370,0.540800
3.010000,-0.400000,6.831200,0.545477
3.033333,-0.500000,7.087370,0.549221
3.056667,-0.500000,7.258150,0.553064
3.080000,-0.300000,6.916590,0.556836
3.103333,-0.800000,7.001980,0.560585
3.126667,-0.600000,6.660420,0.564365
3.150000,-0.500000,7.172760,0.568115
3.173333,-0.500000,7.087370,0.571860
3.196667,-0.400000,7.001980,0.575706
3.220000,-0.400000,7.001980,0.579434
3.243333,-0.400000,6.660420,0.583182
3.266667,-0.600000,7.001980,0.586866
3.290000,-0.700000,7.087370,0.590564
3.313333,-0.600000,6.660420,0.594340
3.336667,-0.400000,6.916590,0.598077
3.360000,-0.600000,7.172760,0.601818
3.383333,-0.500000,7.172760,0.605600
3.406667,-0.400000,7.001980,0.609367
3.430000,-0.800000,6.831200,0.613198
3.453333,-0.400000,7.001980,0.616993
3.476667,-0.500000,7.258150,0.620798
3.500000,-0.700000,7.001980,0.624628
3.523333,-0.300000,7.001980,0.628351
3.546667,-0.800000,7.087370,0.632165
3.570000,-0.400000,7.343540,0.635902
3.593333,-0.700000,7.258150,0.639676
3.616667,-0.700000,7.258150,0.643445
3.640000,-0.500000,7.001980,0.647199
3.663333,-0.600000,7.172760,0.650929
3.686667,-0.700000,7.428930,0.654706
3.710000,-0.600000,7.514320,0.658445
3.733333,-0.600000,7.172760,0.662285
3.756667,-0.700000,7.087370,0.666154
3.780000,-0.700000,7.258150,0.670077
3.803333,-0.400000,7.599710,0.673962
3.826667,-0.700000,7.343540,0.677874
3.850000,-0.800000,7.172760,0.681832
3.873333,-0.400000,7.514320,0.685896
3.896667,-0.900000,7.258150,0.689725
3.920000,-0.600000,7.514320,0.693603
3.943333,-0.700000,7.258150,0.697462
3.966667,-0.300000,7.343540,0.701310
3.990000,-0.400000,7.428930,0.705223
4.013333,-0.600000,7.428930,0.709092
4.036667,-0.600000,7.343540,0.713072
4.060000,-0.400000,7.514320,0.716940
4.083333,-0.600000,7.428930,0.720765
4.106667,-0.400000,7.599710,0.724691
4.130000,-0.400000,7.343540,0.728645
4.153333,-0.700000,7.343540,0.732479
4.176667,-0.500000,7.599710,0.736399
4.200000,-0.500000,7.599710,0.740304
4.223333,-0.500000,7.172760,0.744105
4.246667,-0.500000,7.343540,0.747774
4.270000,-0.400000,7.599710,0.751516
4.293333,-0.700000,7.599710,0.755246
4.316667,-0.700000,7.685100,0.758998
4.340000,-1.000000,7.599710,0.762744
4.363333,-0.400000,7.599710,0.766483
4.386667,-0.600000,7.599710,0.770148
4.410000,-0.200000,7.685100,0.773868
4.433333,-0.500000,7.514320,0.777539
4.456667,-0.300000,7.428930,0.781318
4.480000,-0.600000,7.514320,0.785070
4.503333,-0.700000,7.770490,0.788794
4.526667,-0.500000,7.685100,0.792503
4.550000,-0.500000,7.599710,0.796177
4.573333,-0.200000,7.428930,0.799910
4.596667,-0.500000,7.685100,0.803607
4.620000,-0.400000,8.026660,0.807397
4.643333,-0.700000,7.514320,0.811055
4.666667,-0.400000,7.685100,0.814771
4.690000,-0.600000,7.855880,0.818490
4.713333,-0.800000,7.770490,0.822231
4.736667,-0.400000,7.770490,0.825935
4.760000,-0.500000,7.941270,0.837889
4.783333,-0.800000,7.685100,0.842324
4.806667,-1.000000,7.855880,0.846166
